mz	H/C	O/C
291.087412	1.066666667	0.4
291.098645	1.142857143	0.357142857
291.123797	1.25	0.3125
291.160183	1.411764706	0.235294118
291.171416	1.5	0.1875
292.061531	0.647058824	0.235294118
292.082661	1.071428571	0.428571429
292.119046	1.266666667	0.333333333
292.155432	1.4375	0.25
292.212947	2.214285714	0.357142857
293.030291	0.769230769	0.615384615
293.045547	0.588235294	0.294117647
293.066676	1	0.5
293.081932	0.777777778	0.222222222
293.103062	1.2	0.4
293.139447	1.375	0.3125
293.175833	1.529411765	0.235294118
293.196962	2.142857143	0.428571429
293.212218	1.666666667	0.166666667
294.040796	0.5625	0.3125
294.077181	0.764705882	0.235294118
294.080553	1.214285714	0.285714286
294.098311	1.214285714	0.428571429
294.134696	1.4	0.333333333
294.171082	1.5625	0.25
295.009555	0.666666667	0.75
295.024812	0.5	0.375
295.045941	0.923076923	0.615384615
295.061197	0.705882353	0.294117647
295.07243	0.75	0.25
295.082326	1.142857143	0.5
295.085698	1.818181818	0.636363636
295.097583	0.888888889	0.222222222
295.118712	1.333333333	0.4
295.133968	1.052631579	0.157894737
295.155097	1.5	0.3125
295.170354	1.2	0.1
295.191483	1.647058824	0.235294118
295.227868	1.777777778	0.166666667
296.056446	0.6875	0.3125
296.077575	1.153846154	0.538461538
296.092832	0.882352941	0.235294118
296.096203	1.357142857	0.285714286
296.150346	1.533333333	0.333333333
297.040462	0.625	0.375
297.051695	0.666666667	0.333333333
297.076847	0.823529412	0.294117647
297.08272	1.8	1
297.08808	0.875	0.25
297.097976	1.285714286	0.5
297.10921	1.384615385	0.461538462
297.113233	1	0.222222222
297.134362	1.466666667	0.4
297.149618	1.157894737	0.157894737
297.152989	1.625	0.1875
297.170747	1.625	0.3125
297.207133	1.764705882	0.235294118
297.243519	1.888888889	0.166666667
298.035711	0.6	0.4
298.072096	0.8125	0.3125
298.093225	1.307692308	0.538461538
298.108482	1	0.235294118
298.129611	1.5	0.428571429
298.144867	1.166666667	0.166666667
299.019726	0.533333333	0.466666667
299.056112	0.75	0.375
299.067345	0.8	0.333333333
299.077241	1.230769231	0.615384615
299.092497	0.941176471	0.294117647
299.095868	1.428571429	0.357142857
299.103731	1	0.25
299.113627	1.428571429	0.5
299.116998	2.181818182	0.636363636
299.12486	1.538461538	0.461538462
299.128883	1.111111111	0.222222222
299.150012	1.6	0.4
299.165268	1.263157895	0.157894737
299.186398	1.75	0.3125
299.201654	1.4	0.1
299.222783	1.882352941	0.235294118
299.259169	2	0.166666667
300.014975	0.5	0.5
300.051361	0.733333333	0.4
300.087746	0.9375	0.3125
300.124132	1.117647059	0.235294118
300.218032	1.9375	0.25
300.994968	0.666666667	1.111111111
301.035376	0.666666667	0.466666667
301.04661	0.714285714	0.428571429
301.071762	0.875	0.375
301.082995	0.933333333	0.333333333
301.092891	1.384615385	0.615384615
301.104124	1.5	0.583333333
301.108147	1.058823529	0.294117647
301.111519	1.571428571	0.357142857
301.11402	2.2	1
301.129277	1.571428571	0.5
301.144533	1.222222222	0.222222222
301.165662	1.733333333	0.4
301.180918	1.368421053	0.157894737
301.192152	1.444444444	0.111111111
301.202048	1.875	0.3125
301.238433	2	0.235294118
302.030625	0.642857143	0.5
302.067011	0.866666667	0.4
